Detector AKAZE, descriptor ORB
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, AKAZE, ORB, 11.0341, 12.97
2, AKAZE, ORB, 17.7878, 12.2621
3, AKAZE, ORB, 10000, 13.9136
4, AKAZE, ORB, 12.9863, 7.11506
5, AKAZE, ORB, 10000, 16.2476
6, AKAZE, ORB, 14.0894, 12.4193
7, AKAZE, ORB, 13.0938, 34.3248
8, AKAZE, ORB, 14.7425, 9.34259
9, AKAZE, ORB, 10000, 18.1273
10, AKAZE, ORB, 10000, 18.0274
11, AKAZE, ORB, 16.1152, 16.6984
12, AKAZE, ORB, 13.8677, 9.44291
13, AKAZE, ORB, 13.6485, 9.22189
14, AKAZE, ORB, 12.673, 10.9661
15, AKAZE, ORB, 10000, 8.09329
16, AKAZE, ORB, 9.42345, 9.16462
17, AKAZE, ORB, 7.90403, 9.85
18, AKAZE, ORB, 8.73703, 8.30877
19, AKAZE, ORB, 8.51995, 7.64229
20, AKAZE, ORB, 7.80168, 4.50654
21, AKAZE, ORB, 9.1104, 5.57195
22, AKAZE, ORB, 9.98463, 9.6924
23, AKAZE, ORB, 20.9207, 8.42956
24, AKAZE, ORB, 10.5785, 6.92477
25, AKAZE, ORB, 13.9197, 7.14685
26, AKAZE, ORB, 11.2326, 9.97544
27, AKAZE, ORB, 30.8515, 7.05917
28, AKAZE, ORB, 10000, 12.6654
29, AKAZE, ORB, 10.7068, 7.53236
30, AKAZE, ORB, 10.1305, 6.9787
31, AKAZE, ORB, 17.1852, 11.4837
32, AKAZE, ORB, 10.5165, 3.88792
33, AKAZE, ORB, 9.41049, 56280
34, AKAZE, ORB, 10.3778, 7.60855
35, AKAZE, ORB, 11.5769, 6.592
36, AKAZE, ORB, 4.24999, 10.6273
37, AKAZE, ORB, 7.83743, 3.46622
38, AKAZE, ORB, 95.4216, 12.7481
39, AKAZE, ORB, 8.16822, 6.43416
40, AKAZE, ORB, 7.03462, 5.2067
41, AKAZE, ORB, 9.78636, 5.16091
42, AKAZE, ORB, 6.04783, 5.86919
43, AKAZE, ORB, 7.81417, 14.2251
44, AKAZE, ORB, 22933.5, 4.73753
45, AKAZE, ORB, 9.94819, 4.45534
46, AKAZE, ORB, 25.2052, 9.35527
47, AKAZE, ORB, 30.0296, 6.95277
48, AKAZE, ORB, 12.5571, 14.9616
49, AKAZE, ORB, 13.1044, 44930
50, AKAZE, ORB, 29.099, 4.57972
51, AKAZE, ORB, 10000, 44320
52, AKAZE, ORB, 111.82, 44390
53, AKAZE, ORB, 10000, 15.2015
54, AKAZE, ORB, 10000, 44190
55, AKAZE, ORB, 73.4728, 44350
56, AKAZE, ORB, 10000, 4.6176
57, AKAZE, ORB, 10000, 44230
58, AKAZE, ORB, 10000, 4.50684
59, AKAZE, ORB, 10000, 43470
59, AKAZE, ORB, 10000, 46020
60, AKAZE, ORB, 10000, 48.1449
61, AKAZE, ORB, 10000, 44270
62, AKAZE, ORB, 10000, 44.1249
62, AKAZE, ORB, 10000, 91.4949
63, AKAZE, ORB, 22.3385, 5.15774
63, AKAZE, ORB, 10000, 32.6197
64, AKAZE, ORB, 10000, 44160
64, AKAZE, ORB, 10000, 46070
65, AKAZE, ORB, 10000, 44230
65, AKAZE, ORB, 10000, 16.3478
66, AKAZE, ORB, 10000, 33.897
66, AKAZE, ORB, 10000, 46040
67, AKAZE, ORB, 10000, 44210
67, AKAZE, ORB, 10000, 16.3371
68, AKAZE, ORB, 200.587, 5.56723
68, AKAZE, ORB, 10000, 45990
69, AKAZE, ORB, 10000, 86.5848
69, AKAZE, ORB, 10000, 76.4221
70, AKAZE, ORB, 10000, 44100
70, AKAZE, ORB, 10000, 152.503
71, AKAZE, ORB, 164.941, 44210
71, AKAZE, ORB, 10000, 65.3783
72, AKAZE, ORB, 1750.14, 44280
72, AKAZE, ORB, 10000, 46070
73, AKAZE, ORB, 10000, 220.215
73, AKAZE, ORB, 466.954, 17.6124
74, AKAZE, ORB, 343.694, 5.04593
74, AKAZE, ORB, 10000, 46000
75, AKAZE, ORB, 10000, 44150
75, AKAZE, ORB, 10000, 46030
76, AKAZE, ORB, 10000, 44230
77, AKAZE, ORB, 10000, 195610
