Detector BRISK, descriptor AKAZE
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, BRISK, BRISK, 5.49433, 12.97
2, BRISK, BRISK, 3.75062, 12.2621
3, BRISK, BRISK, 3.85049, 13.9136
4, BRISK, BRISK, 3.99908, 7.11506
5, BRISK, BRISK, 3.98633, 16.2476
6, BRISK, BRISK, 3.60828, 12.4193
7, BRISK, BRISK, 3.59982, 34.3248
8, BRISK, BRISK, 3.25481, 9.34259
9, BRISK, BRISK, 3.39007, 18.1273
10, BRISK, BRISK, 3.74579, 18.0274
11, BRISK, BRISK, 3.78991, 16.6984
12, BRISK, BRISK, 3.56708, 9.44291
13, BRISK, BRISK, 4.02584, 9.22189
14, BRISK, BRISK, 3.69097, 10.9661
15, BRISK, BRISK, 3.96431, 8.09329
16, BRISK, BRISK, 4.74366, 9.16462
17, BRISK, BRISK, 3.79601, 9.85
18, BRISK, BRISK, 3.8911, 8.30877
19, BRISK, BRISK, 3.95458, 7.64229
20, BRISK, BRISK, 4.60774, 4.50654
21, BRISK, BRISK, 4.29272, 5.57195
22, BRISK, BRISK, 4.43045, 9.6924
23, BRISK, BRISK, 4.33761, 8.42956
24, BRISK, BRISK, 6.1815, 6.92477
25, BRISK, BRISK, 5.26768, 7.14685
26, BRISK, BRISK, 6.36961, 9.97544
27, BRISK, BRISK, 6.91504, 7.05917
28, BRISK, BRISK, 6.3832, 12.6654
29, BRISK, BRISK, 5.4255, 7.53236
30, BRISK, BRISK, 7.51455, 6.9787
31, BRISK, BRISK, 6.56055, 11.4837
32, BRISK, BRISK, 8.69246, 3.88792
33, BRISK, BRISK, 6.87851, 56280
34, BRISK, BRISK, 6.59623, 7.60855
35, BRISK, BRISK, 6.89576, 6.592
36, BRISK, BRISK, 9.25829, 10.6273
37, BRISK, BRISK, 7.65633, 3.46622
38, BRISK, BRISK, 9.64925, 12.7481
39, BRISK, BRISK, 10.0935, 6.43416
40, BRISK, BRISK, 9.7609, 5.2067
41, BRISK, BRISK, 9.72152, 5.16091
42, BRISK, BRISK, 10.9663, 5.86919
43, BRISK, BRISK, 10.1275, 14.2251
44, BRISK, BRISK, 8.4837, 4.73753
45, BRISK, BRISK, 9.96955, 4.45534
46, BRISK, BRISK, 9.5238, 9.35527
47, BRISK, BRISK, 10.1687, 6.95277
48, BRISK, BRISK, 9.40242, 14.9616
49, BRISK, BRISK, 11.2679, 44930
50, BRISK, BRISK, 8.68657, 4.57972
51, BRISK, BRISK, 9.37843, 44320
52, BRISK, BRISK, 9.76649, 44390
53, BRISK, BRISK, 10.3005, 15.2015
54, BRISK, BRISK, 8.94719, 44190
55, BRISK, BRISK, 7.96299, 44350
56, BRISK, BRISK, 12.5969, 4.6176
57, BRISK, BRISK, 13.2021, 44230
58, BRISK, BRISK, 12.3847, 4.50684
59, BRISK, BRISK, 11.1487, 43470
59, BRISK, BRISK, 7.39025, 46020
60, BRISK, BRISK, 10.5134, 48.1449
61, BRISK, BRISK, 17.0267, 44270
62, BRISK, BRISK, 8.77758, 44.1249
62, BRISK, BRISK, 6.93379, 91.4949
63, BRISK, BRISK, 12.506, 5.15774
63, BRISK, BRISK, 8.18733, 32.6197
64, BRISK, BRISK, 12.5199, 44160
64, BRISK, BRISK, 7.80886, 46070
65, BRISK, BRISK, 8.21809, 44230
65, BRISK, BRISK, 7.92331, 16.3478
66, BRISK, BRISK, 11.2995, 33.897
66, BRISK, BRISK, 8.44543, 46040
67, BRISK, BRISK, 13.1125, 44210
67, BRISK, BRISK, 9.62064, 16.3371
68, BRISK, BRISK, 12.6257, 5.56723
68, BRISK, BRISK, 8.63253, 45990
69, BRISK, BRISK, 14.3769, 86.5848
69, BRISK, BRISK, 8.93384, 76.4221
70, BRISK, BRISK, 9.14635, 44100
70, BRISK, BRISK, 9.88574, 152.503
71, BRISK, BRISK, 11.2305, 44210
71, BRISK, BRISK, 9.32873, 65.3783
72, BRISK, BRISK, 9.99036, 44280
72, BRISK, BRISK, 10.3137, 46070
73, BRISK, BRISK, 11.9008, 220.215
73, BRISK, BRISK, 9.88261, 17.6124
74, BRISK, BRISK, 13.898, 5.04593
74, BRISK, BRISK, 9.74569, 46000
75, BRISK, BRISK, 11.2999, 44150
75, BRISK, BRISK, 9.41018, 46030
76, BRISK, BRISK, 11.3379, 44230
77, BRISK, BRISK, 12.2931, 195610
