Detector SIFT, descriptor BRISK
imgIndex, detectorType, descriptorName, ttcCamera, ttcLidar
1, SIFT, BRISK, 7.38722, 12.97
2, SIFT, BRISK, 10000, 12.2621
3, SIFT, BRISK, 10000, 13.9136
4, SIFT, BRISK, 26.2303, 7.11506
5, SIFT, BRISK, 10.285, 16.2476
6, SIFT, BRISK, 10000, 12.4193
7, SIFT, BRISK, 10000, 34.3248
8, SIFT, BRISK, 6.87869, 9.34259
9, SIFT, BRISK, 11.8562, 18.1273
10, SIFT, BRISK, 10.1765, 18.0274
11, SIFT, BRISK, 9.6128, 16.6984
12, SIFT, BRISK, 10000, 9.44291
13, SIFT, BRISK, 10000, 9.22189
14, SIFT, BRISK, 8.91101, 10.9661
15, SIFT, BRISK, 7.11767, 8.09329
16, SIFT, BRISK, 8.29973, 9.16462
17, SIFT, BRISK, 10000, 9.85
18, SIFT, BRISK, 16.4832, 8.30877
19, SIFT, BRISK, 10000, 7.64229
20, SIFT, BRISK, 10000, 4.50654
21, SIFT, BRISK, 6.6946, 5.57195
22, SIFT, BRISK, 10000, 9.6924
23, SIFT, BRISK, 10000, 8.42956
24, SIFT, BRISK, 6.08692, 6.92477
25, SIFT, BRISK, 10000, 7.14685
26, SIFT, BRISK, 8.51802, 9.97544
27, SIFT, BRISK, 9.6707, 7.05917
28, SIFT, BRISK, 7.81147, 12.6654
29, SIFT, BRISK, 6.69879, 7.53236
30, SIFT, BRISK, 10000, 6.9787
31, SIFT, BRISK, 7.70661, 11.4837
32, SIFT, BRISK, 10000, 3.88792
33, SIFT, BRISK, 10000, 56280
34, SIFT, BRISK, 9.81866, 7.60855
35, SIFT, BRISK, 10.2439, 6.592
36, SIFT, BRISK, 9.93151, 10.6273
37, SIFT, BRISK, 7.2463, 3.46622
38, SIFT, BRISK, 6.3189, 12.7481
39, SIFT, BRISK, 6.20257, 6.43416
40, SIFT, BRISK, 5.75213, 5.2067
41, SIFT, BRISK, 6.57006, 5.16091
42, SIFT, BRISK, 6.13571, 5.86919
43, SIFT, BRISK, 10000, 14.2251
44, SIFT, BRISK, 16.7167, 4.73753
45, SIFT, BRISK, 6.64385, 4.45534
46, SIFT, BRISK, 13.9933, 9.35527
47, SIFT, BRISK, 45.0139, 6.95277
48, SIFT, BRISK, 46.4075, 14.9616
49, SIFT, BRISK, 11.4994, 44930
50, SIFT, BRISK, 11.7091, 4.57972
51, SIFT, BRISK, 10000, 44320
52, SIFT, BRISK, 23.8055, 44390
53, SIFT, BRISK, 10000, 15.2015
54, SIFT, BRISK, 10000, 44190
55, SIFT, BRISK, 10000, 44350
56, SIFT, BRISK, 10000, 4.6176
57, SIFT, BRISK, 10000, 44230
58, SIFT, BRISK, 9.70773, 4.50684
59, SIFT, BRISK, 10000, 43470
59, SIFT, BRISK, 10000, 46020
60, SIFT, BRISK, 10000, 48.1449
61, SIFT, BRISK, 10000, 44270
62, SIFT, BRISK, 10000, 44.1249
62, SIFT, BRISK, 10000, 91.4949
63, SIFT, BRISK, 10000, 5.15774
63, SIFT, BRISK, 10000, 32.6197
64, SIFT, BRISK, 10000, 44160
64, SIFT, BRISK, 10000, 46070
65, SIFT, BRISK, 10000, 44230
65, SIFT, BRISK, 10000, 16.3478
66, SIFT, BRISK, 10000, 33.897
66, SIFT, BRISK, 10000, 46040
67, SIFT, BRISK, 10000, 44210
67, SIFT, BRISK, 10000, 16.3371
68, SIFT, BRISK, 6393.51, 5.56723
68, SIFT, BRISK, 10000, 45990
69, SIFT, BRISK, 10000, 86.5848
69, SIFT, BRISK, 10000, 76.4221
70, SIFT, BRISK, 211.26, 44100
70, SIFT, BRISK, 10000, 152.503
71, SIFT, BRISK, 10000, 44210
71, SIFT, BRISK, 10000, 65.3783
72, SIFT, BRISK, 10000, 44280
72, SIFT, BRISK, 10000, 46070
73, SIFT, BRISK, 793.095, 220.215
73, SIFT, BRISK, 10000, 17.6124
74, SIFT, BRISK, 165.052, 5.04593
74, SIFT, BRISK, 10000, 46000
75, SIFT, BRISK, 10000, 44150
75, SIFT, BRISK, 10000, 46030
76, SIFT, BRISK, 52.3201, 44230
77, SIFT, BRISK, 10000, 195610
